"location","lon","lat"
"south san francisco, california",-122.414199829102,37.6560707092285
"oakland, california",-122.273071289062,37.8050804138184
"san francisco, california",-122.419639587402,37.7771186828613
"berkeley, california",-122.270538330078,37.8698806762695
"belvedere tiburon, california",-122.456130981445,37.8736991882324
"san mateo, california",-122.314849853516,37.5470390319824
"daly city, california",-122.472793579102,37.691089630127
"san leandro, california",-122.158508300781,37.7282600402832
"atherton, california",-122.197799682617,37.4624786376953
"san rafael, california",-122.532470703125,37.9745712280273
"walnut creek, california",-122.061622619629,37.901180267334
"menlo park, california",-122.178581237793,37.4553298950195
"belmont, california",-122.276206970215,37.5183410644531
"san jose, california",-121.88542175293,37.3386497497559
"palo alto, california",-122.160789489746,37.4446601867676
"emeryville, california",-122.301750183105,37.8371696472168
"el granada, california",-122.469993591309,37.5021591186523
"castro valley, california",-122.085891723633,37.6944885253906
"fairfax, california",-122.590377807617,37.9851684570312
"mountain view, california",-122.081596374512,37.3896713256836
"burlingame, california",-122.35066986084,37.580249786377
"martinez, california",-122.134941101074,38.0139312744141
"pleasant hill, california",-122.062713623047,37.9479904174805
"hayward, california",-122.085540771484,37.6713409423828
"alameda, california",-122.245300292969,37.7668304443359
"vallejo, california",-122.254951477051,38.1009483337402
"benicia, california",-122.153511047363,38.052848815918
"el cerrito, california",-122.311470031738,37.9156303405762
"mill valley, california",-122.548187255859,37.9076118469238
"richmond, california",-122.342712402344,37.9378089904785
"redwood city, california",-122.227722167969,37.4845008850098
"el sobrante, california",-122.313003540039,37.9652290344238
"stanford, california",-122.168922424316,37.4313697814941
"san pablo, california",-122.34236907959,37.9603004455566
"novato, california",-122.567901611328,38.1060905456543
"pacifica, california",-122.491142272949,37.6352615356445
"lafayette, california",-122.128128051758,37.8907699584961
"half moon bay, california",-122.429298400879,37.4631118774414
"fremont, california",-121.98217010498,37.550910949707
"orinda, california",-122.189422607422,37.8836288452148
"san anselmo, california",-122.562591552734,37.9750595092773
"corte madera, california",-122.527221679688,37.9255409240723
"albany, california",-122.297996520996,37.8872718811035
"san carlos, california",-122.262809753418,37.504940032959
"san lorenzo, california",-122.127548217773,37.6804504394531
"foster city, california",-122.268882751465,37.5611381530762
"hercules, california",-122.26538848877,38.0102081298828
"santa cruz, california",-122.030952453613,36.9740600585938
"bolinas, california",-122.689361572266,37.9107208251953
"sausalito, california",-122.488586425781,37.8592414855957
"millbrae, california",-122.396110534668,37.6030807495117
"larkspur, california",-122.535522460938,37.9348983764648
"moraga, california",-122.127281188965,37.8534698486328
"san bruno, california",-122.414138793945,37.6249198913574
"petaluma, california",-122.644439697266,38.2324714660645
"pinole, california",-122.291389465332,38.0044212341309
"san geronimo, california",-122.668472290039,38.0144081115723
"crockett, california",-122.220970153809,38.0554504394531
"boulder, colorado",-105.279243469238,40.015739440918
"brisbane, california",-122.402076721191,37.686840057373
"freedom, california",-121.777770996094,36.9382705688477
"montara, california",-122.515022277832,37.5423202514648
"green brae, california",-122.519996643066,37.9459190368652
"woodside, california",-122.25309753418,37.4293098449707
"new york, new york",-74.0071411132812,40.7145500183105
"ross, california",-122.555938720703,37.9627113342285
"east palo alto, california",-122.139572143555,37.473201751709
"san quentin, california",-122.495887756348,37.9449005126953
"portland, oregon",-122.675628662109,45.511791229248
"rodeo, california",-122.266983032227,38.0327796936035
"hacienda heights, california",-117.972518920898,33.9941291809082
"woodacre, california",-122.643531799316,38.013111114502
"westlake, california",-118.271301269531,34.0537109375
"riverside, california",-117.374038696289,33.9817085266113
"rohnert park, california",-122.710166931152,38.3424186706543
"sacramento, california",-121.490898132324,38.5793304443359
"point richmond, california",-122.383148193359,37.9112815856934
"san diego, california",-117.161712646484,32.7156791687012
"canyon country, california",-118.439079284668,34.4191703796387
"tucson, arizona",-110.969757080078,32.221549987793
"honolulu, hawaii",-157.857879638672,21.3049297332764
"billings, montana",-108.505790710449,45.7839698791504
"west oakland, california",-122.29369354248,37.8116683959961
"kentfield, california",-122.548149108887,37.9561614990234
"milwaukee, wisconsin",-87.906867980957,43.0419998168945
"woodbridge, virginia",-77.2475204467773,38.6610412597656
"glencove, california",-122.206336975098,38.0660400390625
"tiburon, california",-122.46647644043,37.8815116882324
"madrid, spain",-3.70577001571655,40.420280456543
"las vegas, nevada",-115.13996887207,36.1719093322754
"peoria, illinois",-89.5879898071289,40.6923599243164
"santa monica, california",-118.49227142334,34.0115814208984
"bellwood, illinois",-87.8674011230469,41.8819198608398
"los angeles, california",-118.245323181152,34.0534896850586
"moss beach, california",-122.51383972168,37.5282516479492
"nha trang, vietnam",109.196960449219,12.2467098236084
"hillsborough, california",-122.355651855469,37.5778007507324
"olema, california",-122.788948059082,38.0437889099121
"union city, california",-122.02751159668,37.5888290405273
"colma, california",-122.459480285645,37.6776390075684
"cork, ireland",-8.4727897644043,51.8983383178711
"new orleans, louisiana",-90.077751159668,29.9536991119385
"kensington, california",-122.281349182129,37.9128494262695
"redwood shores, california",-122.267303466797,37.5295791625977
"utica, michigan",-83.0356597900391,42.6259994506836
"brea, california",-117.88899230957,33.9175910949707
"lagunitas, california",-122.697387695312,38.0138893127441
"stinson beach, california",-122.638778686523,37.8984794616699
"santa clara, california",-121.955093383789,37.3557891845703
"studio city, california",-118.395606994629,34.14453125
"concord, california",-122.025833129883,37.9816513061523
"piedmont, california",-122.232810974121,37.8245887756348
"grand rapids, michigan",-85.6711807250977,42.9664115905762
"seaside, california",-121.852996826172,36.6039009094238
"leander, texas",-97.8530426025391,30.5791206359863
"forest knolls, california",-122.690979003906,38.0149993896484
"edinburgh, united kingdom",-3.20188999176025,55.9542999267578
"magalia, california",-121.579071044922,39.8062515258789
"london, united kingdom",-0.127210006117821,51.506420135498
"astoria, new york",-73.9260635375977,40.7720489501953
"chicago, illinois",-87.6324462890625,41.8842506408691
"orange, california",-117.850708007812,33.7878684997559
"south wellfleet, massachusetts",-69.9775695800781,41.9221496582031
"bayshore, california",-122.412857055664,37.7062797546387
"asheville, north carolina",-82.5531234741211,35.5984382629395
"los gatos, california",-121.979270935059,37.2213096618652
"boise, idaho",-116.193397521973,43.607608795166
"islip terrace, new york",-73.1940994262695,40.7490692138672
"sunnyvale, california",-122.03800201416,37.3717193603516
"cambridge, massachusetts",-71.1060104370117,42.3667907714844
"lake orion, michigan",-83.2393112182617,42.7846717834473
"ozone park, new york",-73.8473587036133,40.680118560791
"jackson, mississippi",-90.1804885864258,32.2986907958984
"ashland, california",-122.120452880859,37.6995086669922
"south orange, new jersey",-74.2582626342773,40.7473411560059
"fort lauderdale, florida",-80.1435623168945,26.1236705780029
"minneapolis, minnesota",-93.2649383544922,44.9790191650391
"pasadena, california",-118.144271850586,34.1474494934082
"atlanta, georgia",-84.39111328125,33.7483100891113
"salt lake city, utah",-111.888221740723,40.760311126709
"arcadia, california",-118.038871765137,34.1361389160156
"milpitas, california",-121.897132873535,37.4328308105469
"san antonio, texas",-98.4946136474609,29.4245796203613
"port costa, california",-122.183921813965,38.0461311340332
"nicasio, california",-122.697677612305,38.0611724853516
"livingston, california",-120.723373413086,37.3809204101562
"bellingham, washington",-122.471221923828,48.7523498535156
"crowley, texas",-97.3579330444336,32.579029083252
"boston, massachusetts",-71.0567398071289,42.3586616516113
"longwood, florida",-81.3467788696289,28.700159072876
"fayetteville, west virginia",-81.1033935546875,38.0525512695312
"granite bay, california",-121.170623779297,38.7410202026367
"isla vista, california",-119.857040405273,34.4124183654785
"hilarita, california",-122.471702575684,37.8841781616211
"campbell, california",-121.944862365723,37.2884788513184
"stratford, connecticut",-73.1335525512695,41.198558807373
"santa ana, california",-117.874458312988,33.7495803833008
"santa rosa, california",-122.712440490723,38.4379005432129
"kula, hawaii",-156.325317382812,20.7429103851318
"murfreesboro, tennessee",-86.3943481445312,35.8443908691406
"brooklyn, new york",-73.9903564453125,40.6924514770508
"north hollywood, california",-118.37899017334,34.1698188781738
"nevada city, california",-121.019157409668,39.2627410888672
"providence, rhode island",-71.4119873046875,41.8238716125488
"stockton, california",-121.290748596191,37.953670501709
"marin city, california",-122.512222290039,37.8734703063965
"washington, district of columbia",-77.0319595336914,38.8903694152832
"waterford, california",-120.762046813965,37.6410903930664
"vancouver, british columbia, canada",-123.113357543945,49.2603797912598
"muir beach, california",-122.576187133789,37.8664207458496
"pacheco, california",-122.063766479492,37.9914207458496
"irvine, california",-117.825912475586,33.6873016357422
"kansas city, missouri",-94.5831069946289,39.1034507751465
"kassel, germany",9.49118995666504,51.3117599487305
"canyon, california",-122.165512084961,37.8293113708496
"philadelphia, pennsylvania",-75.1621780395508,39.952220916748
"oceanview, california",-122.459053039551,37.7144584655762
"long beach, new york",-73.6660766601562,40.5893898010254
"amsterdam, netherlands",4.870530128479,52.3348007202148
"taunton, massachusetts",-71.0887603759766,41.9009208679199
"napa, california",-122.285377502441,38.2990798950195
"austin, texas",-97.7429885864258,30.2675895690918
"san luis obispo, california",-120.662521362305,35.2855186462402
"modesto, california",-121.00325012207,37.6413803100586
"bonaduz, switzerland",9.39864253997803,46.8112297058105
"costa mesa, california",-117.902366638184,33.663890838623
"guadalajara, mexico",-103.352088928223,20.6662216186523
"oakley, california",-121.71337890625,37.9963684082031
"columbus, ohio",-83.0027465820312,39.9619903564453
"chico, california",-121.841979980469,39.7319984436035
"south lake tahoe, california",-120.007133483887,38.9107208251953
"vacaville, california",-121.993263244629,38.3515281677246
"miami, florida",-80.1977310180664,25.7748107910156
"long beach, california",-118.192398071289,33.7667198181152
"denver, colorado",-104.99201965332,39.7400093078613
"seattle, washington",-122.329452514648,47.6035690307617
"cincinnati, ohio",-84.5041275024414,39.1071281433105
"phoenix, arizona",-112.075798034668,33.4482498168945
"rochester, michigan",-83.1370162963867,42.6834182739258
